,0
0,0
1,90
2,"[-5.0, 4.343959878939482]"
3,1
4,90.0
5,"[-5.0, 4.343959878939482]"
6,2
7,91.73913043478261
8,"[-5.0, 4.343959878939482]"
9,3
10,94.34782608695652
11,"[-5.0, 4.343959878939482]"
12,4
13,96.95652173913042
14,"[-5.0, 4.343959878939482]"
15,5
16,97.82608695652173
17,"[-5.0, 4.343959878939482]"
18,6
19,98.69565217391303
20,"[-5.0, 4.343959878939482]"
21,7
22,98.69565217391303
23,"[-5.0, 4.343959878939482]"
24,8
25,99.56521739130433
26,"[-5.0, 4.343959878939482]"
27,9
28,97.82608695652172
29,"[-5.0, 4.343959878939482]"
30,10
31,97.82608695652172
32,"[-5.0, 4.343959878939482]"
33,11
34,99.56521739130433
35,"[-5.0, 4.343959878939482]"
36,12
37,96.95652173913042
38,"[-5.0, 4.343959878939482]"
39,13
40,93.4782608695652
41,"[-5.0, 4.343959878939482]"
42,14
43,93.4782608695652
44,"[-5.0, 4.343959878939482]"
45,15
46,96.08695652173911
47,"[-5.0, 4.343959878939482]"
48,16
49,93.4782608695652
50,"[-5.0, 4.343959878939482]"
51,17
52,90.8695652173913
53,"[-5.0, 4.343959878939482]"
54,18
55,90.8695652173913
56,"[-5.0, 4.343959878939482]"
57,19
58,92.6086956521739
59,"[-5.0, 4.343959878939482]"
60,20
61,95.21739130434781
62,"[-5.0, 4.343959878939482]"
63,21
64,97.82608695652172
65,"[-5.0, 4.343959878939482]"
66,22
67,94.3478260869565
68,"[-5.0, 4.343959878939482]"
69,23
70,95.2173913043478
71,"[-5.0, 4.343959878939482]"
72,24
73,98.69565217391302
74,"[-5.0, 4.343959878939482]"
75,25
76,99.56521739130432
77,"[-5.0, 4.343959878939482]"
78,26
79,103.04347826086953
80,"[-5.0, 4.343959878939482]"
81,27
82,109.99999999999997
83,"[-5.0, 4.343959878939482]"
84,28
85,116.0869565217391
86,"[-5.0, 4.343959878939482]"
87,29
88,123.04347826086953
89,"[-5.0, 4.343959878939482]"
90,30
91,129.99999999999997
92,"[-5.0, 4.343959878939482]"
93,31
94,134.3478260869565
95,"[-5.0, 4.343959878939482]"
96,32
97,135.2173913043478
98,"[-5.0, 4.343959878939482]"
99,33
100,136.08695652173913
101,"[-5.0, 4.343959878939482]"
102,34
103,139.56521739130434
104,"[-5.0, 4.343959878939482]"
105,35
106,143.04347826086956
107,"[-5.0, 4.343959878939482]"
108,36
109,139.56521739130434
110,"[-5.0, 4.343959878939482]"
111,37
112,139.56521739130434
113,"[-5.0, 4.343959878939482]"
114,38
115,143.04347826086956
116,"[-5.0, 4.343959878939482]"
117,39
118,141.30434782608697
119,"[-5.0, 4.343959878939482]"
120,40
121,140.43478260869566
122,"[-5.0, 4.343959878939482]"
123,41
124,138.69565217391306
125,"[-5.0, 4.343959878939482]"
126,42
127,136.08695652173915
128,"[-5.0, 4.343959878939482]"
129,43
130,137.82608695652175
131,"[-5.0, 4.343959878939482]"
132,44
133,133.47826086956522
134,"[-5.0, 4.343959878939482]"
135,45
136,127.3913043478261
137,"[-5.0, 4.343959878939482]"
138,46
139,128.2608695652174
140,"[-5.0, 4.343959878939482]"
141,47
142,124.78260869565219
143,"[-5.0, 4.343959878939482]"
144,48
145,117.82608695652175
146,"[-5.0, 4.343959878939482]"
147,49
148,115.21739130434784
149,"[-5.0, 4.343959878939482]"
150,50
151,117.82608695652175
152,"[-5.0, 4.343959878939482]"
153,51
154,118.69565217391305
155,"[-5.0, 4.343959878939482]"
156,52
157,117.82608695652173
158,"[-5.0, 4.343959878939482]"
159,53
160,117.82608695652173
161,"[-5.0, 4.343959878939482]"
162,54
163,119.56521739130434
164,"[-5.0, 4.343959878939482]"
165,55
166,123.04347826086956
167,"[-5.0, 4.343959878939482]"
168,56
169,122.17391304347827
170,"[-5.0, 4.343959878939482]"
171,57
172,122.17391304347827
173,"[-5.0, 4.343959878939482]"
174,58
175,118.69565217391305
176,"[-5.0, 4.343959878939482]"
177,59
178,118.69565217391305
179,"[-5.0, 4.343959878939482]"
180,60
181,118.69565217391305
182,"[-5.0, 4.343959878939482]"
183,61
184,117.82608695652175
185,"[-5.0, 4.343959878939482]"
186,62
187,121.30434782608697
188,"[-5.0, 4.343959878939482]"
189,63
190,122.17391304347827
191,"[-5.0, 4.343959878939482]"
192,64
193,122.17391304347827
194,"[-5.0, 4.343959878939482]"
195,65
196,123.91304347826087
197,"[-5.0, 4.343959878939482]"
198,66
199,124.78260869565217
200,"[-5.0, 4.343959878939482]"
201,67
202,127.39130434782608
203,"[-5.0, 4.343959878939482]"
204,68
205,123.91304347826086
206,"[-5.0, 4.343959878939482]"
207,69
208,125.65217391304347
209,"[-5.0, 4.343959878939482]"
210,70
211,125.65217391304347
212,"[-5.0, 4.343959878939482]"
213,71
214,127.39130434782608
215,"[-5.0, 4.343959878939482]"
216,72
217,129.1304347826087
218,"[-5.0, 4.343959878939482]"
219,73
220,126.52173913043478
221,"[-5.0, 4.343959878939482]"
222,74
223,129.1304347826087
224,"[-5.0, 4.343959878939482]"
225,75
226,129.1304347826087
227,"[-5.0, 4.343959878939482]"
228,76
229,129.1304347826087
230,"[-5.0, 4.343959878939482]"
231,77
232,125.65217391304347
233,"[-5.0, 4.343959878939482]"
234,78
235,131.7391304347826
236,"[-5.0, 4.343959878939482]"
237,79
238,130.86956521739128
239,"[-5.0, 4.343959878939482]"
240,80
241,130.86956521739128
242,"[-5.0, 4.343959878939482]"
243,81
244,130.86956521739128
245,"[-5.0, 4.343959878939482]"
246,82
247,128.26086956521738
248,"[-5.0, 4.343959878939482]"
249,83
250,127.39130434782608
251,"[-5.0, 4.343959878939482]"
252,84
253,130.0
254,"[-5.0, 4.343959878939482]"
255,85
256,132.6086956521739
257,"[-5.0, 4.343959878939482]"
258,86
259,132.6086956521739
260,"[-5.0, 4.343959878939482]"
261,87
262,131.7391304347826
263,"[-5.0, 4.343959878939482]"
264,88
265,128.26086956521738
266,"[-5.0, 4.343959878939482]"
267,89
268,125.65217391304347
269,"[-5.0, 4.343959878939482]"
270,90
271,122.17391304347825
272,"[-5.0, 4.343959878939482]"
273,91
274,119.56521739130434
275,"[-5.0, 4.343959878939482]"
276,92
277,118.69565217391303
278,"[-5.0, 4.343959878939482]"
279,93
280,113.4782608695652
281,"[-5.0, 4.343959878939482]"
282,94
283,114.3478260869565
284,"[-5.0, 4.343959878939482]"
285,95
286,112.60869565217389
287,"[-5.0, 4.343959878939482]"
288,96
289,114.3478260869565
290,"[-5.0, 4.343959878939482]"
291,97
292,114.3478260869565
293,"[-5.0, 4.343959878939482]"
294,98
295,114.3478260869565
296,"[-5.0, 4.343959878939482]"
297,99
298,119.56521739130433
299,"[-5.0, 4.343959878939482]"
300,100
301,122.17391304347824
302,"[-5.0, 4.343959878939482]"
303,101
304,125.65217391304346
305,"[-5.0, 4.343959878939482]"
306,102
307,123.04347826086955
308,"[-5.0, 4.343959878939482]"
309,103
310,115.21739130434781
311,"[-5.0, 4.343959878939482]"
312,104
313,112.6086956521739
314,"[-5.0, 4.343959878939482]"
315,105
316,112.6086956521739
317,"[-5.0, 4.343959878939482]"
318,106
319,113.4782608695652
320,"[-5.0, 4.343959878939482]"
321,107
322,114.34782608695652
323,"[-5.0, 4.343959878939482]"
324,108
325,114.34782608695652
326,"[-5.0, 4.343959878939482]"
